Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee
788349926;"""LA RIVE BLEUE""";3/5 RUE BOILEAU;49100;ANGERS;8790A Autres activités d'hébergement social;INTERNE;Etendue
421715731;01 DIRECT;58 AVENUE DE RIVESALTES;66240;SAINT ESTEVE;526B Commerce de détail hors magasin;EXTERNE;Générale
409869708;01DB-METRAVIB;200 CHEMIN DES ORMEAUX;69760;LIMONEST;7120B Activités de contrôle et analyses techniques;PROFESSIONNEL;Etendue
444600464;1.2.3. SAS;57-59 -61 RUE HENRI BARBUSSE;92110;CLICHY;524C Autres commerces de détail en magasin spécialisé;EXTERNE;Etendue
922002968;100 % ASNIERES;70 AVENUE D'ARGENTEUIL;92600;ASNIERES;913C Autres organisations associatives;INTERNE;Etendue
429621311;1000MERCIS;28 RUE DE CHATEAUDUN;75009;PARIS;6201Z Programmation, conseil et autres activités informatiques;INTERNE;Etendue
429621311;1000MERCIS;28 RUE DE CHATEAUDUN;75009;PARIS;"6311Z Traitement de données, hébergement et activités connexes ; portails internet";MUTUALISE;Etendue
453465379;118000 SAS;38, RUE DES JEUNEURS;75006;PARIS;6190Z Autres activités de télécommunication;INTERNE;Etendue
528420565;123 MEDIA COMMUNICATION;64 GRAND RUE;47700;CASTELJALOUX;8220Z Activités de centres d'appels;INTERNE;Générale
524772753;2&GO;Z.A DU COUQUIOU - 433 AV. DU CLAPIER;84320;ENTRAIGUES SUR LA SORGUE;7112B Activités d'architecture et d'ingénierie;INTERNE;Etendue
438049843;20 MINUTES FRANCE SAS;24/26 RUE DU COTENTIN CS 23110;75732;PARIS CEDEX 15;5813Z édition de livres et périodiques et autres activités d'édition;INTERNE;Générale
438049843;20MINUTES FRANCE;50/52 BOULEVARD HAUSSMANN;75009;PARIS;5813Z édition de livres et périodiques et autres activités d'édition;INTERNE;Etendue
797737293;24 SÈVRES;22 RUE VIOLET RDC;75015;PARIS;4791B Commerce de détail hors magasin, éventaires ou marchés;INTERNE;Etendue
530665736;2CL CONCEPT;BD DES SAVIEURS- CAPACITES CRE@VALLEE NORD;24660;COULONIEIX-CHAMIERS;"6312Z Traitement de données, hébergement et activités connexes ; portails internet";EXTERNE;Etendue
